asin,ship_state_or_territory,category,regional_orders,rank
B08XNJ8P3S,maharashtra,set,36,1
B08XNJG8B1,delhi,set,35,4
B09HMTKV2L,maharashtra,kurta,35,1
B081XCMYXJ,karnataka,kurta,35,2
B09NQ3TN2T,karnataka,set,35,2
B099NQQ79L,telangana,western dress,35,4
B07R5X9WJB,andhra pradesh,kurta,35,1
B081WX4G4Q,karnataka,kurta,35,5
B082W8354V,karnataka,kurta,35,2
B09SDY9SQ6,telangana,western dress,35,5
B081WX4G4Q,tamil nadu,kurta,35,4
B08RP4JJPD,maharashtra,kurta,34,1
B09NQ4DD29,maharashtra,set,34,1
B0894YTN3H,maharashtra,set,34,1
B0894WW15B,uttar pradesh,set,34,3
B099NRCT7B,tamil nadu,western dress,34,4
B099NR3NXY,karnataka,western dress,34,2
B09SDXFFQ1,gujarat,western dress,34,8
B08B3Z2YY3,karnataka,set,34,3
B09831YHGV,maharashtra,western dress,34,1
B099NK55YG,maharashtra,set,34,1
B07GRSF1FC,maharashtra,kurta,34,1
B0894XKVH3,uttar pradesh,set,34,2
B098315N2Z,maharashtra,western dress,33,1
B0894YB3B1,maharashtra,set,33,1
B09NQ3MPRM,karnataka,set,33,1
B081WT6GG7,maharashtra,kurta,33,1
B082W8RWN1,tamil nadu,kurta,33,2
B0894XH3LN,karnataka,set,33,3
B081WSCKPQ,west bengal,kurta,33,6
B082W8B28G,karnataka,kurta,33,3
B082W8F8P3,kerala,kurta,33,2
B08XQBF1G4,uttar pradesh,set,33,4
B0894Y3VBB,uttar pradesh,set,33,2
B08XQBC8FV,maharashtra,set,33,1
B082W8BXW1,karnataka,kurta,32,1
B08XQBC8FV,karnataka,set,32,2
B08XQ8MCKP,tamil nadu,set,32,3
B09831T4CQ,karnataka,western dress,32,1
B09TH73PT5,karnataka,western dress,32,1
B081WSWWL7,maharashtra,kurta,32,2
B099NR7612,andhra pradesh,western dress,32,4
B08XNJ8P3S,karnataka,set,32,2
B099S6795L,maharashtra,top,32,1
B099NK55YG,uttar pradesh,set,32,2
B082W84Q2J,maharashtra,kurta,32,4
B099NJKJ54,maharashtra,set,32,1
B09KXWW582,karnataka,set,32,2
B08XQ98B2Q,telangana,set,32,3
B07R4XJNW3,karnataka,kurta,32,2
B081WSCKPQ,kerala,kurta,32,7
B09SDXRYBG,tamil nadu,western dress,31,5
B08XNJG8B1,telangana,set,31,5
B08XQBF1G4,telangana,set,31,5
B08RP67NGB,maharashtra,kurta,31,1
B082W84Q2J,telangana,kurta,31,5
B09B3HRDLP,maharashtra,top,31,1
B09SDY4VDC,tamil nadu,western dress,31,5
B081WY1SP3,maharashtra,kurta,31,2
B081X7JHBC,karnataka,kurta,31,2
B09NQ44RNV,telangana,set,31,3
B099S87FTK,maharashtra,top,31,1
B081X921QM,karnataka,kurta,31,1
B07R4XJNW3,maharashtra,kurta,31,3
B08XNHXSFZ,karnataka,set,31,2
B09NQ4NM75,telangana,set,30,3
B08WPZ1N4Z,maharashtra,kurta,30,1
B099NR3NXY,telangana,western dress,30,3
B081WVMMCY,tamil nadu,kurta,30,4
B08RP3LHNB,maharashtra,kurta,30,1
B09SDXRYBG,uttar pradesh,western dress,30,6
B09NQ51CH7,maharashtra,set,30,1
B07R5X9WJB,tamil nadu,kurta,30,2
B09NQ4XYV9,karnataka,set,30,1
B099NMQR6C,maharashtra,set,30,1
B0822TDMYH,karnataka,set,30,1
B082W8BXW1,maharashtra,kurta,30,2
B08YN7XDSG,karnataka,set,29,1
B08XQ8MJZG,karnataka,set,29,2
B08RYPWC3J,maharashtra,top,29,1
B0982ZRDSY,maharashtra,western dress,29,1
B09SDXWNPZ,maharashtra,western dress,29,1
B082W8RWN1,maharashtra,kurta,29,3
B09SDY8DCT,west bengal,western dress,29,7
B09RKFDT7Q,karnataka,set,29,1
B081WZ4T3V,west bengal,kurta,29,2
B09NQ4XYV9,maharashtra,set,29,2
B09TH73PT5,maharashtra,western dress,29,2
B09831YHGV,karnataka,western dress,29,2
B082W7MZVQ,telangana,kurta,29,4
B08RNPK8FX,karnataka,kurta,29,1
B08B415N6S,maharashtra,set,28,1
B08N4TGTRV,maharashtra,top,28,1
